 ICRF J000557.1+382015   0003+380  D    0  5 57.175409   38 20 15.14857   0.000041  0.00051
 ICRF J001031.0+105829   0007+106  D    0 10 31.005888   10 58 29.50412   0.000032  0.00068
 ICRF J001033.9+172418   0007+171  D    0 10 33.990619   17 24 18.76135   0.000021  0.00035
 ICRF J001331.1+405137   0010+405  D    0 13 31.130213   40 51 37.14407   0.000026  0.00034
 ICRF J001708.4+813508   0014+813  D    0 17  8.474953   81 35  8.13633   0.000121  0.00026
 ICRF J004204.5+232001   0039+230  D    0 42  4.545183   23 20  1.06129   0.000036  0.00060
 ICRF J004959.4-573827   0047-579  D    0 49 59.473091  -57 38 27.33992   0.000047  0.00053
 ICRF J011205.8+224438   0109+224  DL   1 12  5.824718   22 44 38.78619   0.000027  0.00049
 ICRF J011343.1+022217   0111+021   L   1 13 43.144954    2 22 17.31631   0.000023  0.00038
 ICRF J012642.7+255901   0123+257  D    1 26 42.792631   25 59  1.30079   0.000030  0.00054
 ICRF J013305.7-520003   0131-522  D    1 33  5.762585  -52  0  3.94693   0.000049  0.00081
 ICRF J013658.5+475129   0133+476  D    1 36 58.594810   47 51 29.10006   0.000026  0.00027
 ICRF J013738.3-243053   0135-247  D    1 37 38.346378  -24 30 53.88526   0.000055  0.00042
 ICRF J013741.2+330935   0134+329   L   1 37 41.299454   33  9 35.13378   0.000194  0.00650
 ICRF J014125.8-092843   0138-097  D    1 41 25.832025  - 9 28 43.67381   0.000081  0.00088
 ICRF J015127.1+274441   0148+274  D    1 51 27.146149   27 44 41.79365   0.000031  0.00043
 ICRF J015218.0+220707   0149+218  D    1 52 18.059047   22  7  7.70004   0.000020  0.00029
 ICRF J015734.9+744243   0153+744  DL   1 57 34.964908   74 42 43.22998   0.000091  0.00031
 ICRF J020333.3+723253   0159+723  D    2  3 33.385004   72 32 53.66741   0.000072  0.00031
 ICRF J020504.9+321230   0202+319  D    2  5  4.925371   32 12 30.09560   0.000022  0.00030
 ICRF J021748.9+014449   0215+015  D    2 17 48.954740    1 44 49.69909   0.000022  0.00039
 ICRF J022239.6+430207   0219+428  D    2 22 39.611500   43  2  7.79884   0.000034  0.00043
 ICRF J022256.4-344128   0220-349  D    2 22 56.401625  -34 41 28.73011   0.000050  0.00044
 ICRF J022850.0+672103   0224+671  D    2 28 50.051459   67 21  3.02926   0.000052  0.00031
 ICRF J022934.9-784745   0230-790  D    2 29 34.946647  -78 47 45.60129   0.000149  0.00049
 ICRF J023838.9+163659   0235+164  D    2 38 38.930108   16 36 59.27471   0.000018  0.00027
 ICRF J024229.1+110100   0239+108  D    2 42 29.170847   11  1  0.72823   0.000018  0.00030
 ICRF J024457.6+622806   0241+622   L   2 44 57.696828   62 28  6.51494   0.000425  0.00185
 ICRF J025134.5+431515   0248+430  D    2 51 34.536779   43 15 15.82858   0.000027  0.00033
 ICRF J025927.0+074739   0256+075  D    2 59 27.076633    7 47 39.64323   0.000021  0.00035
 ICRF J030350.6-621125   0302-623  D    3  3 50.631333  -62 11 25.54983   0.000047  0.00033
 ICRF J030903.6+102916   0306+102  D    3  9  3.623523   10 29 16.34082   0.000023  0.00042
 ICRF J030956.0-605839   0308-611  D    3  9 56.099167  -60 58 39.05628   0.000038  0.00029
 ICRF J031155.2-765150   0312-770   L   3 11 55.250335  -76 51 50.84843   0.000221  0.00067
 ICRF J031301.9+412001   0309+411  DL   3 13  1.962129   41 20  1.18353   0.000026  0.00031
 ICRF J031948.1+413042   0316+413   L   3 19 48.160106   41 30 42.10328   0.000182  0.00380
 ICRF J032957.6+275615   0326+277   L   3 29 57.669425   27 56 15.49901   0.000138  0.00210
 ICRF J033930.9-014635   0336-019   L   3 39 30.937785  - 1 46 35.80391   0.000017  0.00026
 ICRF J034506.4+145349   0342+147  D    3 45  6.416546   14 53 49.55818   0.000021  0.00032
 ICRF J040305.5+260001   0400+258  DL   4  3  5.586048   26  0  1.50274   0.000020  0.00030
 ICRF J040748.4-121136   0405-123   L   4  7 48.430971  -12 11 36.65948   0.000177  0.00123
 ICRF J040820.3+303230   0405+304   L   4  8 20.377574   30 32 30.49043   0.000201  0.00512
 ICRF J040922.0+121739   0406+121  D    4  9 22.008740   12 17 39.84750   0.000021  0.00033
 ICRF J041636.5-185108   0414-189  D    4 16 36.544466  -18 51  8.34012   0.000051  0.00048
 ICRF J042315.8-012033   0420-014   L   4 23 15.800726  - 1 20 33.06524   0.000051  0.00116
 ICRF J042442.2-375620   0422-380  D    4 24 42.243727  -37 56 20.78423   0.000033  0.00119
 ICRF J042446.8+003606   0422+004  D    4 24 46.842052    0 36  6.32983   0.000020  0.00063
 ICRF J042636.6+051819   0423+051  D    4 26 36.604102    5 18 19.87204   0.000031  0.00087
 ICRF J042840.4-375619   0426-380  D    4 28 40.424306  -37 56 19.58031   0.000036  0.00047
 ICRF J043311.0+052115   0430+052   L   4 33 11.095560    5 21 15.61961   0.000117  0.00261
 ICRF J043900.8-452222   0437-454  D    4 39  0.854714  -45 22 22.56260   0.000057  0.00078
 ICRF J044238.6-001743   0440-003  D    4 42 38.660762  - 0 17 43.41910   0.000025  0.00064
