 ICRF J031155.2-765150   0312-770      *   3 11 55.250335  -76 51 50.84843   0.000221  0.00067   .476 2448768.6 2448111.4 2449896.1     3     17
 ICRF J031951.2+190131   0317+188  2 1     3 19 51.256736   19  1 31.29032   0.000028  0.00048  -.737 2449378.1 2448943.0 2449663.3     9     20
 ICRF J033553.9-543025   0334-546          3 35 53.924919  -54 30 25.11446   0.000066  0.00137   .211 2448994.8 2447627.0 2449651.3     5     13
 ICRF J033717.1+013722   0334+014  2 2     3 37 17.108822    1 37 22.74287   0.003043  0.01491   .615 2449396.6 2449178.3 2449695.3     3      4
 ICRF J033930.9-014635   0336-019  2 1 *   3 39 30.937785  - 1 46 35.80391   0.000017  0.00026   .337 2449438.2 2444774.3 2449925.3   303   7113
 ICRF J034423.1+155943   0341+158  2 1     3 44 23.172178   15 59 43.36987   0.000039  0.00132  -.382 2448969.5 2447394.6 2449660.3    11     34
 ICRF J035721.9-481215   0355-483          3 57 21.917867  -48 12 15.16075   0.000092  0.00221   .698 2448656.9 2448162.9 2449331.0     3      9
 ICRF J040221.2-314725   0400-319          4  2 21.266012  -31 47 25.94544   0.000044  0.00052  -.361 2449319.1 2448767.4 2449483.2     4     27
 ICRF J040659.0-382628   0405-385          4  6 59.035298  -38 26 28.04070   0.000189  0.00122  -.367 2448972.4 2448162.9 2449693.1     3     10
 ICRF J040748.4-121136   0405-123      *   4  7 48.430971  -12 11 36.65948   0.000177  0.00123  -.152 2449298.0 2448767.4 2449399.0     2     25
 ICRF J040820.3-654509   0407-658          4  8 20.380244  -65 45  9.07841   0.001072  0.00630  -.236 2448508.3 2448162.9 2448767.4     2      7
 ICRF J040905.7-123848   0406-127          4  9  5.769741  -12 38 48.14414   0.000029  0.00044  -.816 2448895.2 2447941.8 2449791.2    18     35
 ICRF J042356.0+415002   0420+417          4 23 56.009804   41 50  2.71305   0.000029  0.00035   .233 2448365.7 2447569.1 2449695.3    18    173
 ICRF J042747.5+045708   0425+048  3 3     4 27 47.570443    4 57  8.32698   0.000111  0.01110  -.983 2448868.0 2447394.6 2449663.3    12     25
